  Temperature      Weight        HeatFlow
      °C              %             W/g
     82.12          97.16          8.028
     82.20          97.15          8.024
     82.28          97.14          8.020
     82.36          97.14          8.017
     82.45          97.13          8.013
     82.53          97.13          8.009
     82.61          97.12          8.006
     82.69          97.12          8.002
     82.77          97.12          7.998
     82.86          97.11          7.995
     82.94          97.11          7.991
     83.03          97.11          7.988
     83.11          97.10          7.985
     83.19          97.10          7.981
     83.27          97.09          7.978
     83.36          97.09          7.975
     83.44          97.08          7.972
     83.52          97.08          7.968
     83.60          97.07          7.965
     83.69          97.07          7.962
     83.77          97.06          7.958
     83.86          97.06          7.955
     83.94          97.05          7.951
     84.02          97.05          7.948
     84.10          97.04          7.944
     84.18          97.04          7.941
     84.27          97.03          7.937
     84.36          97.03          7.934
     84.44          97.02          7.931
     84.52          97.02          7.928
     84.60          97.01          7.924
     84.69          97.01          7.921
     84.77          97.01          7.918
     84.85          97.00          7.915
     84.94          97.00          7.912
     85.02          96.99          7.909
     85.10          96.99          7.906
     85.19          96.98          7.902
     85.27          96.98          7.899
     85.35          96.98          7.896
     85.42          96.97          7.893
     85.51          96.96          7.890
     85.60          96.96          7.887
     85.68          96.96          7.884
     85.76          96.95          7.882
     85.85          96.95          7.879
     85.93          96.95          7.876
     86.01          96.94          7.873
     86.09          96.94          7.870
     86.17          96.93          7.868
     86.26          96.93          7.865
     86.34          96.93          7.862
     86.42          96.92          7.859
     86.50          96.91          7.857
     86.58          96.91          7.854
     86.67          96.91          7.851
     86.75          96.90          7.848
     86.83          96.90          7.846
     86.92          96.89          7.843
     87.00          96.89          7.840
     87.08          96.88          7.838
     87.16          96.88          7.835
     87.25          96.87          7.832
     87.33          96.87          7.830
     87.42          96.86          7.827
     87.50          96.86          7.824
     87.58          96.85          7.822
     87.66          96.85          7.819
     87.74          96.84          7.816
     87.82          96.84          7.814
     87.91          96.84          7.811
     87.99          96.83          7.809
     88.07          96.83          7.806
     88.15          96.82          7.804
     88.24          96.82          7.801
     88.32          96.81          7.799
     88.40          96.81          7.796
     88.48          96.80          7.794
     88.57          96.80          7.791
     88.65          96.80          7.789
     88.73          96.79          7.787
     88.81          96.79          7.784
     88.89          96.78          7.782
     88.97          96.78          7.779
     89.06          96.78          7.776
     89.14          96.77          7.774
     89.22          96.77          7.771
     89.31          96.76          7.769
     89.39          96.76          7.766
     89.47          96.75          7.764
     89.56          96.75          7.761
     89.64          96.74          7.759
     89.72          96.74          7.756
     89.80          96.74          7.754
     89.88          96.73          7.752
     89.96          96.73          7.749
     90.05          96.72          7.747
     90.13          96.72          7.745
     90.20          96.72          7.742
     90.29          96.71          7.740
     90.37          96.71          7.738
     90.45          96.70          7.735
     90.53          96.70          7.733
     90.62          96.70          7.731
     90.70          96.69          7.729
     90.79          96.69          7.726
     90.87          96.68          7.725
     90.95          96.68          7.723
     91.03          96.68          7.721
     91.11          96.67          7.719
     91.19          96.67          7.716
     91.27          96.66          7.714
     91.36          96.66          7.713
     91.44          96.65          7.710
     91.52          96.65          7.708
     91.61          96.65          7.707
     91.69          96.64          7.704
     91.77          96.64          7.702
     91.85          96.64          7.700
     91.94          96.63          7.699
     92.02          96.63          7.697
     92.10          96.62          7.695
     92.18          96.62          7.693
     92.26          96.62          7.691
     92.35          96.61          7.689
     92.43          96.61          7.687
     92.51          96.60          7.685
     92.59          96.60          7.683
     92.68          96.59          7.681
     92.76          96.59          7.679
     92.84          96.59          7.677
     92.93          96.58          7.675
     93.01          96.58          7.673
     93.09          96.57          7.671
     93.18          96.57          7.669
     93.26          96.57          7.667
     93.34          96.56          7.666
     93.42          96.56          7.664
     93.50          96.55          7.662
     93.59          96.55          7.660
     93.67          96.55          7.658
     93.75          96.54          7.657
     93.83          96.54          7.655
     93.91          96.54          7.653
     94.00          96.53          7.652
     94.08          96.53          7.650
     94.16          96.53          7.648
     94.24          96.52          7.646
     94.33          96.51          7.645
     94.41          96.51          7.643
     94.48          96.51          7.641
     94.57          96.50          7.639
     94.65          96.50          7.638
     94.74          96.50          7.636
     94.82          96.49          7.635
     94.90          96.49          7.633
     94.98          96.49          7.632
     95.07          96.48          7.630
     95.15          96.48          7.628
     95.24          96.47          7.627
     95.32          96.47          7.625
     95.40          96.47          7.624
     95.48          96.46          7.622
     95.57          96.46          7.621
     95.65          96.46          7.619
     95.74          96.45          7.617
     95.81          96.45          7.616
     95.90          96.44          7.614
     95.98          96.44          7.613
     96.06          96.44          7.611
     96.14          96.44          7.610
     96.22          96.43          7.609
     96.30          96.43          7.607
     96.39          96.43          7.605
     96.47          96.42          7.604
     96.56          96.42          7.602
     96.64          96.41          7.601
     96.72          96.41          7.600
     96.80          96.41          7.598
     96.89          96.40          7.597
     96.97          96.40          7.595
     97.05          96.39          7.594
     97.13          96.39          7.592
     97.22          96.39          7.591
     97.30          96.38          7.589
     97.38          96.38          7.588
     97.46          96.37          7.586
     97.54          96.37          7.584
     97.63          96.37          7.583
     97.71          96.36          7.581
     97.80          96.36          7.580
     97.88          96.36          7.578
     97.96          96.35          7.577
     98.04          96.35          7.576
     98.12          96.35          7.575
     98.21          96.34          7.573
     98.29          96.34          7.572
     98.37          96.34          7.571
